,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
121,"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'ArtBks'}),0.184,0.241,0.095,0.5163043478260869,2.142341692224427,0.05065600000000001,1.5691685393258425,0.6534571723426214
122,"frozenset({'ArtBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1235,0.423,0.095,0.7692307692307693,1.8185124568103292,0.042759500000000006,2.5003333333333337,0.5135196805476326
123,frozenset({'ChildBks'}),"frozenset({'ArtBks', 'DoItYBks'})",0.423,0.1235,0.095,0.22458628841607567,1.8185124568103292,0.042759500000000006,1.1303643292682928,0.7800693240901215
124,frozenset({'ArtBks'}),"frozenset({'ChildBks', 'DoItYBks'})",0.241,0.184,0.095,0.39419087136929465,2.1423416922244276,0.05065600000000001,1.3469589041095893,0.7025310311351501
125,frozenset({'DoItYBks'}),"frozenset({'ChildBks', 'ArtBks'})",0.282,0.1625,0.095,0.3368794326241135,2.073104200763775,0.049175,1.2629679144385029,0.7209353467233545
126,"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'GeogBks'}),0.184,0.276,0.1045,0.5679347826086957,2.0577347195967235,0.05371599999999999,1.675672955974843,0.6299371423210431
127,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'DoItYBks'}),0.195,0.282,0.1045,0.5358974358974359,1.900345517366794,0.04951,1.5470718232044198,0.588546464976671
128,"frozenset({'GeogBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1325,0.423,0.1045,0.7886792452830188,1.8644899415674203,0.048452499999999996,2.7304464285714274,0.5344787170966452
129,frozenset({'ChildBks'}),"frozenset({'GeogBks', 'DoItYBks'})",0.423,0.1325,0.1045,0.2470449172576832,1.8644899415674203,0.048452499999999996,1.1521271585557298,0.8035706881825645
130,frozenset({'DoItYBks'}),"frozenset({'ChildBks', 'GeogBks'})",0.282,0.195,0.1045,0.37056737588652483,1.900345517366794,0.04951,1.2789295774647889,0.6598605909557382
131,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'DoItYBks'})",0.276,0.184,0.1045,0.37862318840579706,2.057734719596723,0.05371599999999999,1.3132128279883384,0.7099844034999604
132,"frozenset({'ChildBks', 'ArtBks'})",frozenset({'RefBks'}),0.1625,0.2145,0.076,0.4676923076923077,2.1803837188452575,0.04114375,1.4756502890173409,0.6464061272584446
133,"frozenset({'ChildBks', 'RefBks'})",frozenset({'ArtBks'}),0.1515,0.241,0.076,0.5016501650165016,2.081535954425318,0.0394885,1.5230264900662251,0.612357721055733
134,"frozenset({'RefBks', 'ArtBks'})",frozenset({'ChildBks'}),0.0895,0.423,0.076,0.8491620111731844,2.007475203719112,0.0381415,3.8252962962962958,0.5511936761178069
135,frozenset({'ChildBks'}),"frozenset({'RefBks', 'ArtBks'})",0.423,0.0895,0.076,0.17966903073286053,2.007475203719112,0.0381415,1.1099178674351584,0.8697778892638878
136,frozenset({'ArtBks'}),"frozenset({'ChildBks', 'RefBks'})",0.241,0.1515,0.076,0.3153526970954357,2.081535954425318,0.0394885,1.2393242424242426,0.6845659108244921
137,frozenset({'RefBks'}),"frozenset({'ChildBks', 'ArtBks'})",0.2145,0.1625,0.076,0.3543123543123543,2.180383718845257,0.04114375,1.2970667870036101,0.6891981305906396
138,"frozenset({'ChildBks', 'RefBks'})",frozenset({'GeogBks'}),0.1515,0.276,0.094,0.6204620462046205,2.2480508920457263,0.052185999999999996,1.9075826086956524,0.6542960669015409
139,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'RefBks'}),0.195,0.2145,0.094,0.48205128205128206,2.247325324248401,0.0521725,1.5165594059405942,0.6894740319809699
140,"frozenset({'RefBks', 'GeogBks'})",frozenset({'ChildBks'}),0.1105,0.423,0.094,0.8506787330316742,2.0110608345902463,0.0472585,3.8641515151515144,0.5652051714446319
141,frozenset({'ChildBks'}),"frozenset({'RefBks', 'GeogBks'})",0.423,0.1105,0.094,0.22222222222222224,2.0110608345902463,0.0472585,1.143642857142857,0.8713171577123051
142,frozenset({'RefBks'}),"frozenset({'ChildBks', 'GeogBks'})",0.2145,0.195,0.094,0.4382284382284382,2.247325324248401,0.0521725,1.432966804979253,0.7065901919092054
